Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price  ,Average Price 
HDFCBANK,EQ,31-Aug-2023,1578.7,1579,1583.15,1563.1,1577,1571.45,1570.99
HDFCBANK,EQ,01-Sep-2023,1571.45,1571,1579,1559.35,1573.75,1574.7,1569.33
HDFCBANK,EQ,04-Sep-2023,1574.7,1590,1591.45,1574.9,1584.5,1584.55,1582.03
HDFCBANK,EQ,05-Sep-2023,1584.55,1588.4,1588.4,1570.6,1575,1574.9,1576.27
HDFCBANK,EQ,06-Sep-2023,1574.9,1576.8,1600,1574.9,1599,1595.5,1588.41
HDFCBANK,EQ,07-Sep-2023,1595.5,1595.5,1614,1587.15,1611,1610.85,1601.67
HDFCBANK,EQ,08-Sep-2023,1610.85,1608.3,1632.9,1607.6,1623.2,1623.4,1619.68
HDFCBANK,EQ,11-Sep-2023,1623.4,1628.9,1636.5,1624,1633,1631.8,1631.32
HDFCBANK,EQ,12-Sep-2023,1631.8,1640,1642.9,1625.05,1636,1636.9,1635.47
HDFCBANK,EQ,13-Sep-2023,1636.9,1631.3,1651.6,1628.6,1641.6,1643.9,1643.76
HDFCBANK,EQ,14-Sep-2023,1643.9,1644.25,1650,1635.1,1643,1642.9,1642.38
HDFCBANK,EQ,15-Sep-2023,1642.9,1650,1670,1650,1657,1661.75,1660.63
HDFCBANK,EQ,18-Sep-2023,1661.75,1653.75,1655,1626.1,1629.65,1629.05,1636.5
HDFCBANK,EQ,20-Sep-2023,1629.05,1599,1599,1560.4,1566,1563.7,1570.63
HDFCBANK,EQ,21-Sep-2023,1563.7,1553,1568.95,1537.05,1554.5,1553.35,1555.34
HDFCBANK,EQ,22-Sep-2023,1553.35,1559,1564.4,1523.75,1530.2,1529.65,1544.59
HDFCBANK,EQ,25-Sep-2023,1529.65,1525,1540.7,1525,1528.9,1531,1533.28
HDFCBANK,EQ,26-Sep-2023,1531,1525,1540,1525,1538,1537.65,1535.23
HDFCBANK,EQ,27-Sep-2023,1537.65,1523,1532.5,1515,1527.45,1526.85,1524.39
HDFCBANK,EQ,28-Sep-2023,1526.85,1534,1537.6,1518.35,1518.4,1523.7,1526.61
HDFCBANK,EQ,29-Sep-2023,1523.7,1523.7,1535.45,1522.3,1525.85,1526.3,1529.2
HDFCBANK,EQ,03-Oct-2023,1526.3,1527,1527,1506,1508,1508.05,1511.94
HDFCBANK,EQ,04-Oct-2023,1508.05,1495,1535,1489.25,1532,1529.55,1519.36
HDFCBANK,EQ,05-Oct-2023,1529.55,1535.05,1551.55,1532.6,1535.85,1535.75,1540.76
HDFCBANK,EQ,06-Oct-2023,1535.75,1544,1545,1529.85,1535,1534.05,1539.1
